Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,MW,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTW,ATW,HTD,ATD,HTL,ATL,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,Season_End_Year,HomeTeamRk,AwayTeamRk,HomeFormPoints_5round,AwayFormPoints_5round,Home3GameWinStreak,Away3GameWinStreak,Home5GameWinStreak,Away5GameWinStreak,Home3GameLossStreak,Away3GameLossStreak,Home5GameLossStreak,Away5GameLossStreak,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,HTGS_norm,ATGS_norm,HTGC_norm,ATGC_norm,HTGD_norm,ATGD_norm,DiffPts_norm,DiffFormPts_norm,HTP_norm,ATP_norm,FTR_OHE1,FTR_OHE2,FTR_OHE3
2009-08-15,Aston Villa,Wigan,0,2,0,0,1,A,11,14,5,7,15,14,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,6,11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-15,Blackburn,Man City,0,2,0,0,1,A,17,8,9,5,12,9,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,15,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-15,Bolton,Sunderland,0,1,0,0,1,A,11,20,3,13,16,10,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,13,16,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-15,Chelsea,Hull,2,1,2,1,1,D,26,7,12,3,13,15,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,3,17,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-15,Everton,Arsenal,1,6,0,0,3,A,8,15,5,9,11,13,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-15,Portsmouth,Fulham,0,1,0,0,1,A,16,9,4,3,11,18,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,14,7,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-15,Stoke,Burnley,2,0,2,2,0,H,12,9,5,5,15,10,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,12,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-15,Wolves,West Ham,0,2,0,0,1,A,19,16,11,13,9,5,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,20,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2009-08-16,Man United,Birmingham,1,0,2,1,0,H,26,6,17,4,13,7,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,1,20,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-16,Tottenham,Liverpool,2,1,2,1,0,H,17,6,11,3,14,16,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2009,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2009-08-18,Wigan,Wolves,0,1,0,0,1,A,18,9,5,3,8,21,4,4,2,2,0,0,2,3,0,1,0,0,0,0,1,3,1,2,2,2,2,2,2,2,2,2009,11,20,3,0,0,0,0,0,0,0,0,0,2.0,-2.0,3.0,3.0,-9,0.0188679245283018,0.0,0.0,0.0246913580246913,0.3333333333333333,-0.3333333333333333,0.5,0.5,1.0,0.0,1.0,0.0,0.0
2009-08-18,Sunderland,Chelsea,1,3,0,1,0,H,4,20,3,9,14,10,1,14,2,1,2,0,1,3,3,1,1,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2009,16,3,3,3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,13,0.0094339622641509,0.0196078431372549,0.0,0.0123456790123456,0.1666666666666666,0.1666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2009-08-19,Birmingham,Portsmouth,1,0,2,0,0,D,9,9,5,4,11,20,4,5,2,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2009,20,14,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0.0,6,0.0,0.0,0.0125,0.0123456790123456,-0.1666666666666666,-0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0
