Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MW,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTW,ATW,HTD,ATD,HTL,ATL,HomeForm_1,AwayForm_1,HomeForm_2,AwayForm_2,HomeForm_3,AwayForm_3,HomeForm_4,AwayForm_4,HomeForm_5,AwayForm_5,HomeTeamRk,AwayTeamRk,HomeFormPoints,AwayFormPoints,Home3GameWinStreak,Away3GameWinStreak,Home5GameWinStreak,Away5GameWinStreak,Home3GameLossStreak,Away3GameLossStreak,Home5GameLossStreak,Away5GameLossStreak,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,HTGS_norm,ATGS_norm,HTGC_norm,ATGC_norm,HTGD_norm,ATGD_norm,DiffPts_norm,DiffFormPts_norm,HTP_norm,ATP_norm
2009-08-15,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg,11,14,5,7,15,14,4,6,2,2,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,6,16,0,3,False,False,False,False,False,False,False,False,-2,2,-3,-3,-10,0.0,0.018867924528301886,0.023529411764705882,0.0,-0.02531645569620253,0.02531645569620253,-0.03896103896103896,-0.2,0.0,1.0
2009-08-15,Blackburn,Man City,0,2,A,0,1,A,M Dean,17,8,9,5,12,9,5,4,2,1,0,0,1,1,3,4,0,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,10,5,0,3,False,False,False,False,False,False,False,False,-3,3,-3,-3,5,0.009433962264150943,0.02830188679245283,0.047058823529411764,0.0,-0.0379746835443038,0.0379746835443038,-0.03896103896103896,-0.2,0.0,0.5
2009-08-15,Bolton,Sunderland,0,1,A,0,1,A,A Marriner,11,20,3,13,16,10,4,7,2,1,0,0,1,2,4,5,4,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,14,13,0,3,False,False,False,False,False,False,False,False,-3,0,-3,-3,1,0.018867924528301886,0.03773584905660377,0.058823529411764705,0.047058823529411764,-0.0379746835443038,0.0,-0.03896103896103896,-0.2,0.0,0.3333333333333333
2009-08-15,Chelsea,Hull,2,1,H,1,1,D,A Wiley,26,7,12,3,13,15,12,4,1,2,0,0,1,10,4,2,8,3,0,0,0,0,0,0,0,W,L,WM,LM,WMM,LMM,WMMM,LMMM,WMMMM,LMMMM,1,19,3,0,False,False,False,False,False,False,False,False,8,-4,3,3,-18,0.09433962264150944,0.03773584905660377,0.023529411764705882,0.09411764705882353,0.10126582278481013,-0.05063291139240506,0.03896103896103896,0.2,0.25,0.0
2009-08-15,Everton,Arsenal,1,6,A,0,3,A,M Halsey,8,15,5,9,11,13,4,9,0,0,0,0,1,7,17,10,8,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,8,3,0,3,False,False,False,False,False,False,False,False,-3,9,-3,-3,5,0.0660377358490566,0.16037735849056603,0.11764705882352941,0.09411764705882353,-0.0379746835443038,0.11392405063291139,-0.03896103896103896,-0.2,0.0,0.2
2009-08-15,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson,16,9,4,3,11,18,6,4,3,2,0,0,1,3,4,12,8,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,20,12,0,3,False,False,False,False,False,False,False,False,-9,-4,-3,-3,8,0.02830188679245283,0.03773584905660377,0.1411764705882353,0.09411764705882353,-0.11392405063291139,-0.05063291139240506,-0.03896103896103896,-0.2,0.0,0.16666666666666666
2009-08-15,Stoke,Burnley,2,0,H,2,0,H,S Bennett,12,9,5,5,15,10,3,6,2,2,0,0,1,5,5,9,15,3,0,0,0,0,0,0,0,W,L,WM,LM,WMM,LMM,WMMM,LMMM,WMMMM,LMMMM,11,18,3,0,False,False,False,False,False,False,False,False,-4,-10,3,3,-7,0.04716981132075472,0.04716981132075472,0.10588235294117647,0.17647058823529413,-0.05063291139240506,-0.12658227848101267,0.03896103896103896,0.2,0.14285714285714285,0.0
2009-08-15,Wolves,West Ham,0,2,A,0,1,A,C Foy,19,16,11,13,9,5,8,6,0,0,0,0,1,7,9,14,13,0,3,0,0,0,0,0,0,L,W,LM,WM,LMM,WMM,LMMM,WMMM,LMMMM,WMMMM,15,17,0,3,False,False,False,False,False,False,False,False,-7,-4,-3,-3,-2,0.0660377358490566,0.08490566037735849,0.16470588235294117,0.15294117647058825,-0.08860759493670886,-0.05063291139240506,-0.03896103896103896,-0.2,0.0,0.125
2009-08-16,Man United,Birmingham,1,0,H,1,0,H,L Mason,26,6,17,4,13,7,13,2,1,1,0,0,1,21,6,9,11,3,0,0,0,0,0,0,0,W,L,WM,LM,WMM,LMM,WMMM,LMMM,WMMMM,LMMMM,2,9,3,0,False,False,False,False,False,False,False,False,12,-5,3,3,-7,0.19811320754716982,0.05660377358490566,0.10588235294117647,0.12941176470588237,0.1518987341772152,-0.06329113924050633,0.03896103896103896,0.2,0.1111111111111111,0.0
2009-08-16,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd,17,6,11,3,14,16,6,5,3,3,0,0,1,21,24,14,13,3,0,0,0,0,0,0,0,W,L,WM,LM,WMM,LMM,WMMM,LMMM,WMMMM,LMMMM,4,7,3,0,False,False,False,False,False,False,False,False,7,11,3,3,-3,0.19811320754716982,0.22641509433962265,0.16470588235294117,0.15294117647058825,0.08860759493670886,0.13924050632911392,0.03896103896103896,0.2,0.1,0.0
